Wavelength,7-AAD EM,7-AAD AB,Alexa Fluor 488 EM,Alexa Fluor 488 EX,Alexa Fluor 594 EM,Alexa Fluor 594 EX,Alexa Fluor 647 EM,Alexa Fluor 647 EX,Alexa Fluor 700 EM,Alexa Fluor 700 EX,Annexin-V-FLUOS EM,Annexin-V-FLUOS EX,APC (allophycocyanin) EM,APC (allophycocyanin) AB,APC/Cy7 EM,APC/Cy7 EX,APC/Fire-750 EM,APC/Fire-750 EX,ATTO 488 EM,ATTO 488 AB,BD Horizon BUV395 EM,BD Horizon BUV395 EX,BD Horizon BUV496 EM,BD Horizon BUV496 EX,BD Horizon BUV563 EM,BD Horizon BUV563 EX,BD Horizon BUV661 EM,BD Horizon BUV661 EX,BD Horizon BUV737 EM,BD Horizon BUV737 EX,BD Horizon BUV805 EM,BD Horizon BUV805 EX,Brilliant Violet 421 EM,Brilliant Violet 421 EX,Brilliant Violet 480 EM,Brilliant Violet 480 AB,Brilliant Violet 510 EM,Brilliant Violet 510 EX,Brilliant Violet 570 EM,Brilliant Violet 570 EX,Brilliant Violet 605 EM,Brilliant Violet 605 EX,Brilliant Violet 650 EM,Brilliant Violet 650 EX,Brilliant Violet 711 EM,Brilliant Violet 711 EX,Brilliant Violet 785 EM,Brilliant Violet 785 EX,Brilliant Violet 786 EM,Brilliant Violet 786 EX,Cy-Chrome EM,Cy-Chrome EX,Cy3 EM,Cy3 EX,Cy5.5 EM,Cy5.5 AB,DAPI EM,DAPI EX,DyLight 488 EM,DyLight 488 EX,DyLight 649 EM,DyLight 649 EX,eFluor 450 EM,eFluor 450 EX,eFluor 506 EM,eFluor 506 EX,eFluor 660 EM,eFluor 660 EX,Fluorescein (FITC) EM,Fluorescein (FITC) EX,mNeonGreen EM,mNeonGreen EX,Pacific Blue EM,Pacific Blue EX,"PE (R-PE, R-phycoerythrin) EM","PE (R-PE, R-phycoerythrin) EX",PE-Cy5 EM,PE-Cy5 EX,PE-Cy7 EM,PE-Cy7 AB,PE/Dazzle 594 EM,PE/Dazzle 594 EX,PE-eFluor 610 EM,PE-eFluor 610 EX,PE-Texas Red EM,PE-Texas Red EX,PerCP EM,PerCP AB,PerCP-Cy5.5 EM,PerCP-Cy5.5 AB,PerCP-eFluor 710 EM,PerCP-eFluor 710 EX,pHrodo Green EM,pHrodo Green AB,pHrodo Red EM,pHrodo Red EX,Super Bright 645 EM,Super Bright 645 EX,Zombie Aqua EM,Zombie Aqua EX,Zombie UV EM,Zombie UV EX,APC-Vio 770 EM,APC-Vio 770 EX,PE-Fire 640 EM,PE-Fire 640 EX,PE-Fire 700 EM,PE-Fire 700 EX,PE-Fire 810 EM,PE-Fire 810 EX,PE-Vio 615 EM,PE-Vio 615 EX,PerCP-Vio 700 EM,PerCP-Vio 700 EX,SNIR685 EM,SNIR685 EX,Spark YG 570 EM,Spark YG 570 EX,BUV615 EM,BUV615 EX,eVolve 655 EM,eVolve 655 EX
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.167999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6474,,0.0616,,,,,,,,,,,,,,,,,,,,,,,,0.3077,,,,,,0.1393,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.164000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6364,,0.061,,,,,,,,,,,,,,,,,,,,,,,,0.3124,,,,,,0.1361,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.160999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6539,,0.0611,,,,,,,,,,,,,,,,,,,,,,,,0.3129,,,,,,0.133,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6722,,0.0618,,,,,,,,,,,,,,,,,,,,,,,,0.313,,,,,,0.1308,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6834,,0.0606,,,,,,,,,,,,,,,,,,,,,,,,0.3122,,,,,,0.1303,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.157000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6978,,0.0596,,,,,,,,,,,,,,,,,,,,,,,,0.3119,,,,,,0.1236,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.157000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6918,,0.0604,,,,,,,,,,,,,,,,,,,,,,,,0.3115,,,,,,0.1238,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.156000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6811,,0.0596,,,,,,,,,,,,,,,,,,,,,,,,0.3135,,,,,,0.1217,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.156000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6668,,0.0577,,,,,,,,,,,,,,,,,,,,,,,,0.3165,,,,,,0.121,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.654,,0.056,,,,,,,,,,,,,,,,,,,,,,,,0.3183,,,,,,0.1193,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6544,,0.0559,,,,,,,,,,,,,,,,,,,,,,,,0.3189,,,,,,0.1179,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6459,,0.0558,,,,,,,,,,,,,,,,,,,,,,,,0.3205,,,,,,0.1173,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.153999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6334,,0.0547,,,,,,,,,,,,,,,,,,,,,,,,0.3223,,,,,,0.1161,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.156000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6103,,0.054,,,,,,,,,,,,,,,,,,,,,,,,0.3249,,,,,,0.1156,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.157000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6066,,0.054,,,,,,,,,,,,,,,,,,,,,,,,0.3291,,,,,,0.1153,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.158000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5834,,0.0538,,,,,,,,,,,,,,,,,,,,,,,,0.3334,,,,,,0.1162,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714,,0.0525,,,,,,,,,,,,,,,,,,,,,,,,0.3369,,,,,,0.1172,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.163000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5375,,0.0517,,,,,,,,,,,,,,,,,,,,,,,,0.3407,,,,,,0.1197,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.165999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5266,,0.0524,,,,,,,,,,,,,,,,,,,,,,,,0.3453,,,,,,0.1229,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.170000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4925,,0.0516,,,,,,,,,,,,,,,,,,,,,,,,0.3493,,,,,,0.126,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.172999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4729,,0.05,,,,,,,,,,,,,,,,,,,,,,,,0.3528,,,,,,0.1299,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.177000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4448,,0.0501,,,,,,,,,,,,,,,,,,,,,,,,0.3563,,,,,,0.1339,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.182999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4427,,0.0515,,,,,,,,,,,,,,,,,,,,,,,,0.3603,,,,,,0.1377,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.187999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4094,,0.0511,,,,,,,,,,,,,,,,,,,,,,,,0.3642,,,,,,0.1411,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.194000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3952,,0.0504,,,,,,,,,,,,,,,,,,,,,,,,0.3673,,,,,,0.145,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.197999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3786,,0.0503,,,,,,,,,,,,,,,,,,,,,,,,0.3699,,,,,,0.148,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.202999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3483,,0.0508,,,,,,,,,,,,,,,,,,,,,,,,0.3726,,,,,,0.151,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.207000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3307,,0.0515,,,,,,,,,,,,,,,,,,,,,,,,0.3748,,,,,,0.1545,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.209999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3106,,0.0515,,,,,,,,,,,,,,,,,,,,,,,,0.3768,,,,,,0.1579,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.214000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3065,,0.0511,,,,,,,,,,,,,,,,,,,,,,,,0.3783,,,,,,0.1625,,,,,,,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.216999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2936,,0.0514,,,,,,,,,,,,,,,,,,,,,,,,0.3794,,,,,,0.1664,,,,,,,,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.222000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267,,0.0511,,,,,,,,,,,,,,,,,,,,,,,,0.3802,,,,,,0.1704,,,,,,,,,,,,,,,,,,,,,,,,
